Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Christian McCaffreyC. McCaffrey CAR,RB1,,1,2,1.0,0.0
2,,Saquon BarkleyS. Barkley NYG,RB2,,1,5,2.3,0.7
3,,Michael ThomasM. Thomas NO,WR1,,2,4,3.0,0.0
4,,Ezekiel ElliottE. Elliott DAL,RB3,,2,6,4.2,0.8
5,,Dalvin CookD. Cook MIN,RB4,,2,11,5.0,0.9
Tier 2,
6,,Alvin KamaraA. Kamara NO,RB5,,4,16,6.4,1.7
7,,Davante AdamsD. Adams GB,WR2,,7,16,9.9,2.2
8,,Derrick HenryD. Henry TEN,RB6,,4,31,10.7,5.2
9,,Aaron JonesA. Jones GB,RB7,,7,27,10.9,4.4
10,,DeAndre HopkinsD. Hopkins ARI,WR3,,4,35,11.1,2.1
11,,Joe MixonJ. Mixon CIN,RB8,,4,34,11.6,5.9
12,,Tyreek HillT. Hill KC,WR4,,6,25,12.0,2.6
Tier 3,
13,,Julio JonesJ. Jones ATL,WR5,,8,24,12.4,2.0
14,,Chris GodwinC. Godwin TB,WR6,,7,24,14.2,1.5
15,,Travis KelceT. Kelce KC,TE1,,9,18,17.3,0.5
16,,Nick ChubbN. Chubb CLE,RB9,,7,34,17.9,7.3
17,,Austin EkelerA. Ekeler LAC,RB10,,6,40,19.1,8.1
18,,George KittleG. Kittle SF,TE2,,17,53,19.4,6.5
Tier 4,
19,,Mike EvansM. Evans TB,WR7,,12,41,20.8,5.2
20,,Josh JacobsJ. Jacobs LV,RB11,,7,37,21.9,5.0
21,,Leonard FournetteL. Fournette JAC,RB12,,7,42,22.5,6.3
22,,Amari CooperA. Cooper DAL,WR8,,15,36,23.0,5.5
23,,Lamar JacksonL. Jackson BAL,QB1,,8,38,23.5,8.1
24,,Kenny GolladayK. Golladay DET,WR9,,15,39,24.0,6.1
25,,Kenyan DrakeK. Drake ARI,RB13,,7,71,26.0,11.0
26,,Odell Beckham Jr.O. Beckham CLE,WR10,,12,41,27.9,5.0
27,,D.J. MooreD. Moore CAR,WR11,,12,53,29.3,5.2
28,,Miles SandersM. Sanders PHI,RB14,,20,42,30.2,5.5
29,,Zach ErtzZ. Ertz PHI,TE3,,26,86,30.9,9.7
30,,Allen RobinsonA. Robinson CHI,WR12,,21,56,31.0,4.7
Tier 5,
31,,Todd GurleyT. Gurley ATL,RB15,,14,66,33.2,10.2
32,,Patrick MahomesP. Mahomes KC,QB2,,19,62,33.6,8.0
33,,Courtland SuttonC. Sutton DEN,WR13,,16,66,34.3,5.7
34,,Keenan AllenK. Allen LAC,WR14,,16,62,35.1,8.3
35,,A.J. BrownA. Brown TEN,WR15,,24,50,35.9,5.4
36,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR16,,15,72,36.1,10.0
37,,DeVante ParkerD. Parker MIA,WR17,,22,64,40.2,7.9
38,,Cooper KuppC. Kupp LAR,WR18,,21,87,40.8,9.0
39,,Chris CarsonC. Carson SEA,RB16,,21,83,42.0,9.9
40,,Stefon DiggsS. Diggs BUF,WR19,,25,82,43.0,9.2
41,,Le'Veon BellL. Bell NYJ,RB17,,20,80,43.8,9.2
42,,Melvin GordonM. Gordon DEN,RB18,,21,80,44.4,12.2
43,,Adam ThielenA. Thielen MIN,WR20,,24,81,44.5,11.9
44,,Mark AndrewsM. Andrews BAL,TE4,,17,63,44.6,8.0
45,,Calvin RidleyC. Ridley ATL,WR21,,25,75,44.9,8.2
46,,Mark Ingram IIM. Ingram BAL,RB19,,27,93,45.0,10.4
47,,Devin SingletaryD. Singletary BUF,RB20,,20,71,45.9,7.7
Tier 6,
48,,Robert WoodsR. Woods LAR,WR22,,31,74,49.0,7.8
49,,Marlon MackM. Mack IND,RB21,,31,76,51.8,9.1

50,,Tyler LockettT. Lockett SEA,WR23,,26,79,52.5,10.5
51,,D.J. CharkD. Chark JAC,WR24,,37,74,52.8,9.4
52,,T.Y. HiltonT. Hilton IND,WR25,,33,74,53.5,10.9
53,,Darren WallerD. Waller LV,TE5,,26,78,55.2,8.7
54,,D.K. MetcalfD. Metcalf SEA,WR26,,37,101,56.8,8.0
55,,Russell WilsonR. Wilson SEA,QB3,,53,95,58.0,4.4
56,,Kerryon JohnsonK. Johnson DET,RB22,,27,89,58.3,14.4
57,,James ConnerJ. Conner PIT,RB23,,28,100,59.6,12.1
58,,Kyler MurrayK. Murray ARI,QB4,,44,91,60.8,8.3
59,,Terry McLaurinT. McLaurin WAS,WR27,,41,76,60.9,7.8
60,,A.J. GreenA. Green CIN,WR28,,25,97,62.2,15.1
Tier 7,
61,,Dak PrescottD. Prescott DAL,QB5,,54,103,63.5,7.4
62,,Damien WilliamsD. Williams KC,RB24,,23,93,63.6,16.6
63,,Deshaun WatsonD. Watson HOU,QB6,,54,95,63.8,10.5
