Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Christian McCaffreyC. McCaffrey CAR,RB1,,1,2,1.0,0.2
2,,Saquon BarkleyS. Barkley NYG,RB2,,1,5,2.5,0.9
3,,Michael ThomasM. Thomas NO,WR1,,2,5,3.0,0.2
4,,Ezekiel ElliottE. Elliott DAL,RB3,,2,6,4.3,0.8
Tier 2,
5,,Dalvin CookD. Cook MIN,RB4,,2,11,5.1,0.9
6,,Alvin KamaraA. Kamara NO,RB5,,2,10,5.6,1.5
7,,Davante AdamsD. Adams GB,WR2,,7,15,8.9,1.6
Tier 3,
8,,DeAndre HopkinsD. Hopkins ARI,WR3,,4,35,10.9,2.0
9,,Aaron JonesA. Jones GB,RB6,,7,27,11.6,4.6
10,,Derrick HenryD. Henry TEN,RB7,,4,31,11.9,6.4
11,,Julio JonesJ. Jones ATL,WR4,,8,24,12.3,2.3
12,,Joe MixonJ. Mixon CIN,RB8,,6,28,12.6,6.0
13,,Tyreek HillT. Hill KC,WR5,,8,25,13.0,2.0
14,,Chris GodwinC. Godwin TB,WR6,,9,25,14.1,1.7
15,,Austin EkelerA. Ekeler LAC,RB9,,6,40,16.2,6.0
16,,Travis KelceT. Kelce KC,TE1,,9,19,16.9,1.5
Tier 4,
17,,Nick ChubbN. Chubb CLE,RB10,,7,40,18.9,7.2
18,,George KittleG. Kittle SF,TE2,,14,53,19.0,5.2
19,,Josh JacobsJ. Jacobs LV,RB11,,9,31,21.8,5.3
20,,Kenyan DrakeK. Drake ARI,RB12,,7,47,21.9,6.2
21,,Mike EvansM. Evans TB,WR7,,15,41,22.5,5.6
22,,Leonard FournetteL. Fournette JAC,RB13,,7,44,23.3,6.3
23,,Lamar JacksonL. Jackson BAL,QB1,,8,38,23.5,7.6
24,,Amari CooperA. Cooper DAL,WR8,,16,39,24.4,6.1
25,,Kenny GolladayK. Golladay DET,WR9,,15,48,24.7,7.4
Tier 5,
26,,D.J. MooreD. Moore CAR,WR10,,12,54,28.8,5.8
27,,Allen RobinsonA. Robinson CHI,WR11,,21,42,28.8,5.0
28,,Zach ErtzZ. Ertz PHI,TE3,,26,69,29.5,7.8
29,,Miles SandersM. Sanders PHI,RB14,,9,40,29.6,5.0
30,,Odell Beckham Jr.O. Beckham CLE,WR12,,12,67,30.2,6.2
31,,Patrick MahomesP. Mahomes KC,QB2,,19,41,33.7,7.5
32,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR13,,15,72,34.4,9.8
33,,Courtland SuttonC. Sutton DEN,WR14,,21,50,35.0,6.2
34,,Keenan AllenK. Allen LAC,WR15,,24,72,35.0,7.4
35,,Todd GurleyT. Gurley ATL,RB15,,14,66,36.2,10.6
36,,Cooper KuppC. Kupp LAR,WR16,,15,78,37.8,10.3
37,,A.J. BrownA. Brown TEN,WR17,,21,72,39.7,7.6
38,,Le'Veon BellL. Bell NYJ,RB16,,19,80,39.8,9.3
39,,Adam ThielenA. Thielen MIN,WR18,,17,72,39.8,10.3
Tier 6,
40,,Melvin GordonM. Gordon DEN,RB17,,7,80,41.6,10.6
41,,Chris CarsonC. Carson SEA,RB18,,25,83,43.5,12.1
42,,DeVante ParkerD. Parker MIA,WR19,,32,64,44.1,8.0
43,,Calvin RidleyC. Ridley ATL,WR20,,29,62,44.1,8.1
44,,Devin SingletaryD. Singletary BUF,RB19,,22,71,44.4,7.3
45,,Robert WoodsR. Woods LAR,WR21,,32,65,45.4,7.9
46,,Mark AndrewsM. Andrews BAL,TE4,,17,63,46.7,7.7
47,,Stefon DiggsS. Diggs BUF,WR22,,25,74,47.3,9.7
48,,Mark Ingram IIM. Ingram BAL,RB20,,27,93,49.8,10.2
49,,Tyler LockettT. Lockett SEA,WR23,,26,79,50.6,9.9

50,,T.Y. HiltonT. Hilton IND,WR24,,33,112,53.2,11.4
51,,Darren WallerD. Waller LV,TE5,,26,78,53.6,6.4
