Rank,WSID,Tight Ends (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
Tier 2,
1,,Travis KelceT. Kelce KC,,1,2,1.0,0.0
2,,Zach ErtzZ. Ertz PHI,,1,3,2.2,0.4
3,,George KittleG. Kittle SF,,2,3,2.8,0.4
Tier 3,
4,,O.J. HowardO. Howard TB,,4,12,4.9,1.4
5,,Hunter HenryH. Henry LAC,,5,9,5.5,0.7
6,,Eric EbronE. Ebron IND,,4,10,5.9,1.4
7,,David NjokuD. Njoku CLE,,4,10,6.8,1.2
8,,Evan EngramE. Engram NYG,,5,10,8.1,0.7
9,,Rob GronkowskiR. Gronkowski NE,,5,16,9.1,1.3
Tier 4,
10,,Delanie WalkerD. Walker TEN,,10,17,12.1,1.6
11,,Jack DoyleJ. Doyle IND,,9,17,11.6,1.4
12,,Jared CookJ. Cook OAK,,6,18,11.7,2.9
13,,Trey BurtonT. Burton CHI,,8,19,13.2,2.1
14,,Greg OlsenG. Olsen CAR,,10,25,14.6,2.4
Tier 5,
15,,Chris Herndon IVC. Herndon NYJ,,11,18,15.3,1.6
16,,Austin HooperA. Hooper ATL,,9,19,15.7,1.7
17,,Jaylen SamuelsJ. Samuels PIT,,6,27,17.4,4.7
18,,Jordan ReedJ. Reed WAS,,14,21,17.4,1.8
19,,Kyle RudolphK. Rudolph MIN,,11,22,18.4,2.1
20,,Jimmy GrahamJ. Graham GB,,14,26,19.1,1.9
21,,Vance McDonaldV. McDonald PIT,,13,23,19.8,1.8
22,,Gerald EverettG. Everett LAR,,16,31,22.8,1.7
23,,Dallas GoedertD. Goedert PHI,,21,28,24.3,1.2
24,,Cameron BrateC. Brate TB,,20,41,25.1,2.7
25,,Mike GesickiM. Gesicki MIA,,22,29,25.9,1.2
Tier 6,
26,,Ricky Seals-JonesR. Seals-Jones ARI,,25,45,29.0,2.7
27,,Tyler EifertT. Eifert CIN,,13,33,24.9,2.8
28,,Mark AndrewsM. Andrews BAL,,19,34,26.6,3.3
29,,Hayden HurstH. Hurst BAL,,24,39,28.3,2.9
30,,Ian ThomasI. Thomas CAR,,16,35,29.8,2.3
31,,Jake ButtJ. Butt DEN,,26,37,32.1,3.4
32,,Nick VannettN. Vannett SEA,,30,46,33.5,2.9
33,,Austin Seferian-JenkinsA. Seferian-Jenkins FA,,28,36,31.7,1.0
34,,Charles ClayC. Clay BUF,,29,40,34.6,2.3
35,,Luke WillsonL. Willson DET,,34,74,37.9,5.9
Tier 7,
36,,Jonnu SmithJ. Smith TEN,,24,65,30.6,4.5
37,,Vernon DavisV. Davis WAS,,32,46,38.6,5.0
38,,Adam ShaheenA. Shaheen CHI,,35,47,39.4,4.5
39,,C.J. UzomahC. Uzomah CIN,,29,54,40.6,10.8
40,,Blake JarwinB. Jarwin DAL,,21,69,36.0,19.3
41,,Jesse JamesJ. James PIT,,39,60,46.2,7.8
42,,Dan ArnoldD. Arnold NO,,31,73,46.8,17.0
43,,Will DisslyW. Dissly SEA,,28,77,48.4,19.7
44,,Jordan ThomasJ. Thomas HOU,,30,60,43.3,11.0
45,,Ryan GriffinR. Griffin HOU,,40,46,43.3,2.2
46,,Geoff SwaimG. Swaim DAL,,26,77,51.4,19.1
Tier 8,
47,,Demetrius HarrisD. Harris KC,,45,55,48.8,3.8
48,,Antonio GatesA. Gates LAC,,34,47,40.7,5.3
49,,Tyler HigbeeT. Higbee LAR,,32,62,50.8,11.3
50,,Michael RobertsM. Roberts DET,,36,66,51.8,10.9
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Tyler KroftT. Kroft CIN,,37,61,45.3,11.1
52,,Rhett EllisonR. Ellison NYG,,42,79,55.0,14.9
53,,Benjamin WatsonB. Watson NO,,31,37,34.0,3.0
54,,Nick BoyleN. Boyle BAL,,50,71,56.5,8.5
55,,Virgil GreenV. Green LAC,,41,84,58.8,16.6
56,,Josh HillJ. Hill NO,,48,58,51.3,4.7
57,,Maxx WilliamsM. Williams BAL,,49,66,58.5,6.2
58,,Lee SmithL. Smith OAK,,40,76,52.7,16.5
59,,Jeff HeuermanJ. Heuerman DEN,,42,66,52.7,10.0
60,,Ed DicksonE. Dickson SEA,,46,64,53.0,7.9
61,,Jermaine GreshamJ. Gresham ARI,,40,80,54.3,18.2
62,,Levine ToiloloL. Toilolo DET,,45,85,61.8,15.7
63,,Garrett CelekG. Celek SF,,44,68,54.3,10.1
64,,Erik SwoopeE. Swoope FA,,48,64,54.3,6.9
65,,Jordan AkinsJ. Akins HOU,,44,75,60.5,12.5
66,,James O'ShaughnessyJ. O'Shaughnessy JAC,,53,69,61.3,6.5
Tier 9,
67,,Mo Alie-CoxM. Alie-Cox IND,,58,65,60.7,3.1
68,,Anthony FirkserA. Firkser TEN,,57,72,65.0,7.0
69,,Jason CroomJ. Croom BUF,,59,73,66.8,5.6
70,,A.J. DerbyA. Derby MIA,,52,71,64.3,8.7
71,,Seth DeValveS. DeValve CLE,,54,63,58.5,4.5
72,,Dalton SchultzD. Schultz DAL,,60,74,65.3,6.2
73,,Jordan LeggettJ. Leggett NYJ,,50,69,59.5,9.5
74,,Luke StockerL. Stocker TEN,,41,98,69.5,28.5
75,,Jacob HollisterJ. Hollister NE,,52,68,60.0,8.0
76,,Derek CarrierD. Carrier OAK,,43,92,67.5,24.5
77,,Nick O'LearyN. O'Leary MIA,,57,75,67.7,7.7
78,,Troy FumagalliT. Fumagalli DEN,,53,73,63.0,10.0
79,,Robert TonyanR. Tonyan GB,,57,72,64.5,7.5
80,,Rico GathersR. Gathers DAL,,62,89,73.0,11.6
81,,Jeremy SprinkleJ. Sprinkle WAS,,55,78,66.5,11.5
82,,Neal SterlingN. Sterling NYJ,,56,94,75.0,19.0
Tier 10,
83,,Eric TomlinsonE. Tomlinson NYJ,,61,86,73.5,12.5
84,,Lance KendricksL. Kendricks GB,,62,87,74.5,12.5
85,,Dion SimsD. Sims CHI,,65,81,73.0,8.0
86,,Antony AuclairA. Auclair TB,,67,96,81.5,14.5
87,,MyCole PruittM. Pruitt TEN,,70,82,76.0,6.0
