Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,3,1.5,0.6,1.0,0.0
2,,Ezekiel ElliottE. Elliott DAL,RB2,8,1,6,2.3,1.0,2.0,0.0
3,,Christian McCaffreyC. McCaffrey CAR,RB3,7,2,14,3.6,1.4,3.0,0.0
4,,Alvin KamaraA. Kamara NO,RB4,9,2,11,3.9,1.6,4.0,0.0
5,,DeAndre HopkinsD. Hopkins HOU,WR1,10,5,13,6.3,2.0,5.0,0.0
6,,Melvin GordonM. Gordon LAC,RB5,12,4,17,7.6,2.2,7.0,+1.0
7,,Davante AdamsD. Adams GB,WR2,11,5,20,8.6,3.4,8.0,+1.0
8,,Julio JonesJ. Jones ATL,WR3,9,5,20,10.3,2.2,13.0,+5.0
9,,Todd GurleyT. Gurley LAR,RB6,9,1,40,11.6,7.8,6.0,-3.0
10,,Michael ThomasM. Thomas NO,WR4,9,5,30,11.8,5.0,9.0,-1.0
11,,David JohnsonD. Johnson ARI,RB7,12,4,46,12.2,5.1,12.0,+1.0
12,,Odell Beckham Jr.O. Beckham CLE,WR5,7,5,26,12.4,4.9,14.0,+2.0
13,,Travis KelceT. Kelce KC,TE1,12,12,17,12.4,0.9,17.0,+4.0
14,,Le'Veon BellL. Bell NYJ,RB8,4,4,40,12.8,4.4,10.0,-4.0
Tier 2,
15,,James ConnerJ. Conner PIT,RB9,7,5,31,15.2,3.8,11.0,-4.0
16,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,5,30,16.2,5.5,18.0,+2.0
17,,Joe MixonJ. Mixon CIN,RB10,9,6,31,16.5,4.0,16.0,-1.0
18,,Antonio BrownA. Brown OAK,WR7,6,10,26,19.1,4.2,20.0,+2.0
19,,Zach ErtzZ. Ertz PHI,TE2,10,12,63,19.6,8.8,23.0,+4.0
20,,Nick ChubbN. Chubb CLE,RB11,7,5,51,20.6,5.5,21.0,+1.0
21,,Dalvin CookD. Cook MIN,RB12,12,14,46,20.8,5.2,22.0,+1.0
22,,George KittleG. Kittle SF,TE3,4,15,53,21.5,6.2,24.0,+2.0
23,,Mike EvansM. Evans TB,WR8,7,13,33,23.3,4.3,19.0,-4.0
Tier 4,
24,,A.J. GreenA. Green CIN,WR9,9,16,35,26.7,3.3,33.0,+9.0
25,,Keenan AllenK. Allen LAC,WR10,12,13,33,27.4,3.4,26.0,+1.0
26,,T.Y. HiltonT. Hilton IND,WR11,6,10,34,28.4,2.8,27.0,+1.0
27,,Amari CooperA. Cooper DAL,WR12,8,24,37,28.9,2.2,28.0,+1.0
28,,Leonard FournetteL. Fournette JAC,RB13,10,17,66,30.2,8.5,30.0,+2.0
29,,Stefon DiggsS. Diggs MIN,WR13,12,29,37,32.2,1.5,29.0,0.0
30,,Adam ThielenA. Thielen MIN,WR14,12,26,42,32.3,2.6,25.0,-5.0
31,,Marlon MackM. Mack IND,RB14,6,17,61,33.0,9.5,37.0,+6.0
32,,Patrick MahomesP. Mahomes KC,QB1,12,24,58,34.1,12.0,15.0,-17.0
33,,Aaron JonesA. Jones GB,RB15,11,18,59,35.2,10.1,34.0,+1.0
34,,Brandin CooksB. Cooks LAR,WR15,9,28,46,35.5,2.7,40.0,+6.0
35,,Robert WoodsR. Woods LAR,WR16,9,28,65,36.3,3.3,42.0,+7.0
36,,Kenny GolladayK. Golladay DET,WR17,5,32,50,36.9,2.6,41.0,+5.0
37,,Sony MichelS. Michel NE,RB16,10,19,71,38.9,10.8,32.0,-5.0
38,,Damien WilliamsD. Williams KC,RB17,12,17,114,39.6,15.8,31.0,-7.0
39,,Julian EdelmanJ. Edelman NE,WR18,10,27,62,39.8,6.7,47.0,+8.0
40,,Cooper KuppC. Kupp LAR,WR19,9,34,73,41.4,6.6,48.0,+8.0
Tier 5,
41,,Andrew LuckA. Luck IND,QB2,6,24,78,44.9,10.5,43.0,+2.0
42,,Alshon JefferyA. Jeffery PHI,WR20,10,33,69,45.0,6.1,69.0,+27.0
43,,Allen RobinsonA. Robinson CHI,WR21,6,35,76,45.4,9.4,67.0,+24.0
44,,Devonta FreemanD. Freeman ATL,RB18,9,21,85,48.0,11.0,38.0,-6.0
45,,Aaron RodgersA. Rodgers GB,QB3,11,24,70,48.5,7.1,50.0,+5.0
46,,Phillip LindsayP. Lindsay DEN,RB19,10,18,76,49.8,8.2,39.0,-7.0
47,,Chris GodwinC. Godwin TB,WR22,7,35,96,49.9,11.6,54.0,+7.0
48,,Jarvis LandryJ. Landry CLE,WR23,7,32,74,50.8,11.9,51.0,+3.0
49,,Derrick HenryD. Henry TEN,RB20,11,27,71,51.4,9.6,36.0,-13.0
50,,D.J. MooreD. Moore CAR,WR24,7,37,75,51.8,8.0,59.0,+9.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,Chris CarsonC. Carson SEA,RB21,11,27,85,53.0,13.5,52.0,+1.0
52,,Kerryon JohnsonK. Johnson DET,RB22,5,39,89,54.2,9.1,35.0,-17.0
53,,Sammy WatkinsS. Watkins KC,WR25,12,34,138,54.4,10.5,71.0,+18.0
54,,Deshaun WatsonD. Watson HOU,QB4,10,24,77,54.9,7.0,55.0,+1.0
55,,Corey DavisC. Davis TEN,WR26,11,36,99,55.7,15.3,75.0,+20.0
56,,Tyler LockettT. Lockett SEA,WR27,11,34,97,56.2,10.9,64.0,+8.0
57,,Tarik CohenT. Cohen CHI,RB23,6,19,85,56.3,11.8,45.0,-12.0
58,,Calvin RidleyC. Ridley ATL,WR28,9,39,73,56.4,8.9,49.0,-9.0
59,,O.J. HowardO. Howard TB,TE4,7,15,78,60.5,8.4,63.0,+4.0
Tier 6,
60,,Mark IngramM. Ingram BAL,RB24,8,21,85,62.4,14.0,53.0,-7.0
61,,Hunter HenryH. Henry LAC,TE5,12,15,106,64.6,7.3,72.0,+11.0
62,,Tyler BoydT. Boyd CIN,WR29,9,41,109,65.0,14.5,61.0,-1.0
63,,James WhiteJ. White NE,RB25,10,31,120,65.8,11.9,58.0,-5.0
64,,Baker MayfieldB. Mayfield CLE,QB5,7,47,103,66.0,12.9,65.0,+1.0
65,,Mike WilliamsM. Williams LAC,WR30,12,48,82,67.1,8.8,66.0,+1.0
66,,Robby AndersonR. Anderson NYJ,WR31,4,38,99,69.0,12.5,84.0,+18.0
67,,Derrius GuiceD. Guice WAS,RB26,10,40,126,69.4,16.6,44.0,-23.0
68,,Kenyan DrakeK. Drake MIA,RB27,5,36,93,69.5,14.8,60.0,-8.0
69,,Evan EngramE. Engram NYG,TE6,11,51,106,69.5,9.5,62.0,-7.0
70,,Russell WilsonR. Wilson SEA,QB6,11,56,164,70.2,10.9,70.0,0.0
71,,Lamar MillerL. Miller HOU,RB28,10,57,104,73.2,8.3,81.0,+10.0
72,,Marvin JonesM. Jones DET,WR32,5,62,101,74.7,9.1,98.0,+26.0
73,,Matt RyanM. Ryan ATL,QB7,9,54,103,75.2,11.3,68.0,-5.0
74,,Golden TateG. Tate NYG,WR33,11,48,111,75.4,8.0,91.0,+17.0
75,,Eric EbronE. Ebron IND,TE7,6,15,127,76.7,9.9,57.0,-18.0
76,,Will FullerW. Fuller HOU,WR34,10,48,169,77.5,7.6,78.0,+2.0
77,,Drew BreesD. Brees NO,QB8,9,54,132,78.9,15.2,85.0,+8.0
78,,Dante PettisD. Pettis SF,WR35,4,35,109,80.5,11.6,82.0,+4.0
79,,Sterling ShepardS. Shepard NYG,WR36,11,58,109,82.8,10.0,99.0,+20.0
80,,Tevin ColemanT. Coleman SF,RB29,4,57,119,83.1,10.5,73.0,-7.0
