Rank,WSID,Quarterbacks (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Patrick MahomesP. Mahomes KC,12,1,9,1.5,1.0,1.0,0.0
2,,Andrew LuckA. Luck IND,6,1,7,2.7,1.0,2.0,0.0
3,,Deshaun WatsonD. Watson HOU,10,1,6,3.0,1.1,4.0,+1.0
4,,Aaron RodgersA. Rodgers GB,11,1,7,3.2,1.0,3.0,-1.0
Tier 2,
5,,Baker MayfieldB. Mayfield CLE,7,1,19,6.5,2.8,5.0,0.0
6,,Russell WilsonR. Wilson SEA,11,1,19,7.8,3.1,7.0,+1.0
7,,Matt RyanM. Ryan ATL,9,3,17,7.9,2.5,6.0,-1.0
8,,Cam NewtonC. Newton CAR,7,2,19,9.5,3.2,9.0,+1.0
9,,Drew BreesD. Brees NO,9,5,23,9.6,2.6,8.0,-1.0
Tier 3,
10,,Carson WentzC. Wentz PHI,10,5,20,10.3,3.1,10.0,0.0
11,,Jameis WinstonJ. Winston TB,7,6,21,11.2,2.8,16.0,+5.0
12,,Jared GoffJ. Goff LAR,9,4,22,11.8,3.2,11.0,-1.0
13,,Ben RoethlisbergerB. Roethlisberger PIT,7,6,22,14.4,3.1,14.0,+1.0
14,,Kyler MurrayK. Murray ARI,12,5,28,14.5,4.8,12.0,-2.0
15,,Dak PrescottD. Prescott DAL,8,8,21,14.5,2.8,20.0,+5.0
16,,Philip RiversP. Rivers LAC,12,10,22,15.7,2.6,15.0,-1.0
17,,Lamar JacksonL. Jackson BAL,8,6,25,16.0,3.8,19.0,+2.0
Tier 4,
18,,Mitch TrubiskyM. Trubisky CHI,6,6,25,17.5,2.7,18.0,0.0
19,,Josh AllenJ. Allen BUF,6,6,24,18.2,3.8,23.0,+4.0
20,,Tom BradyT. Brady NE,10,9,24,19.3,2.4,13.0,-7.0
