Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Christian McCaffreyC. McCaffrey CAR,RB1,,1,1,1.0,0.0
2,,Saquon BarkleyS. Barkley NYG,RB2,,2,5,2.2,0.5
3,,Michael ThomasM. Thomas NO,WR1,,2,4,3.0,0.0
4,,Ezekiel ElliottE. Elliott DAL,RB3,,2,6,4.3,0.6
5,,Dalvin CookD. Cook MIN,RB4,,2,11,5.0,0.9
Tier 2,
6,,Alvin KamaraA. Kamara NO,RB5,,4,16,6.5,1.7
7,,Davante AdamsD. Adams GB,WR2,,7,16,10.1,2.1
8,,Derrick HenryD. Henry TEN,RB6,,4,28,10.4,4.7
9,,DeAndre HopkinsD. Hopkins ARI,WR3,,4,35,10.9,2.2
10,,Joe MixonJ. Mixon CIN,RB7,,4,34,11.1,5.8
11,,Aaron JonesA. Jones GB,RB8,,7,27,11.1,4.3
12,,Tyreek HillT. Hill KC,WR4,,6,25,11.9,2.7
Tier 3,
13,,Julio JonesJ. Jones ATL,WR5,,8,24,12.6,2.0
14,,Chris GodwinC. Godwin TB,WR6,,7,24,14.1,1.6
15,,Travis KelceT. Kelce KC,TE1,,9,18,17.4,0.5
16,,Nick ChubbN. Chubb CLE,RB9,,7,34,17.7,7.0
17,,Austin EkelerA. Ekeler LAC,RB10,,6,40,19.4,8.3
18,,George KittleG. Kittle SF,TE2,,17,53,19.5,6.6
Tier 4,
19,,Mike EvansM. Evans TB,WR7,,12,41,20.7,5.3
20,,Leonard FournetteL. Fournette JAC,RB11,,7,40,22.0,6.2
21,,Josh JacobsJ. Jacobs LV,RB12,,9,37,22.2,4.2
22,,Amari CooperA. Cooper DAL,WR8,,15,36,22.9,5.2
23,,Lamar JacksonL. Jackson BAL,QB1,,8,38,23.7,8.2
24,,Kenny GolladayK. Golladay DET,WR9,,15,39,24.1,6.1
25,,Kenyan DrakeK. Drake ARI,RB13,,7,71,27.5,11.1
26,,Odell Beckham Jr.O. Beckham CLE,WR10,,12,41,27.7,5.1
27,,D.J. MooreD. Moore CAR,WR11,,12,53,28.7,4.7
28,,Miles SandersM. Sanders PHI,RB14,,20,42,30.3,5.5
29,,Allen RobinsonA. Robinson CHI,WR12,,21,56,30.9,4.6
