Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,,1,3,1.6,0.6
2,,Ezekiel ElliottE. Elliott DAL,RB2,,1,7,2.6,1.2
3,,Christian McCaffreyC. McCaffrey CAR,RB3,,2,18,3.9,1.2
4,,Alvin KamaraA. Kamara NO,RB4,,2,17,4.4,1.3
5,,Todd GurleyT. Gurley LAR,RB5,,1,40,4.6,4.3
6,,Melvin GordonM. Gordon LAC,RB6,,4,14,6.4,1.3
7,,DeAndre HopkinsD. Hopkins HOU,WR1,,5,12,6.8,1.6
Tier 2,
8,,Davante AdamsD. Adams GB,WR2,,6,20,9.0,2.3
9,,Julio JonesJ. Jones ATL,WR3,,6,29,10.3,1.5
10,,Michael ThomasM. Thomas NO,WR4,,8,26,11.7,3.4
11,,Odell Beckham Jr.O. Beckham CLE,WR5,,6,24,12.8,4.0
12,,Travis KelceT. Kelce KC,TE1,,13,22,13.1,0.7
13,,James ConnerJ. Conner PIT,RB7,,3,23,13.5,4.3
14,,Le'Veon BellL. Bell NYJ,RB8,,4,27,14.0,4.7
Tier 3,
15,,Antonio BrownA. Brown OAK,WR6,,8,29,17.2,5.2
16,,Joe MixonJ. Mixon CIN,RB9,,7,40,17.3,3.2
17,,David JohnsonD. Johnson ARI,RB10,,5,46,17.6,6.4
18,,Zach ErtzZ. Ertz PHI,TE2,,15,53,18.5,6.9
19,,Nick ChubbN. Chubb CLE,RB11,,7,44,19.4,7.2
20,,George KittleG. Kittle SF,TE3,,15,63,21.0,3.6
21,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR7,,8,30,21.3,5.0
22,,Tyreek HillT. Hill KC,WR8,,11,73,21.4,7.3
23,,Dalvin CookD. Cook MIN,RB12,,7,46,21.5,5.0
24,,Mike EvansM. Evans TB,WR9,,16,33,24.1,4.0
25,,A.J. GreenA. Green CIN,WR10,,16,36,26.3,2.9
Tier 4,
26,,T.Y. HiltonT. Hilton IND,WR11,,10,35,29.0,3.0
27,,Aaron JonesA. Jones GB,RB13,,14,66,29.2,9.8
28,,Patrick MahomesP. Mahomes KC,QB1,,27,54,29.3,4.3
29,,Amari CooperA. Cooper DAL,WR12,,21,38,29.4,2.8
30,,Keenan AllenK. Allen LAC,WR13,,20,35,30.7,2.6
31,,Leonard FournetteL. Fournette JAC,RB14,,17,52,30.9,10.5
32,,Adam ThielenA. Thielen MIN,WR14,,25,36,32.7,2.2
33,,Sony MichelS. Michel NE,RB15,,23,59,33.1,7.4
34,,Stefon DiggsS. Diggs MIN,WR15,,26,38,33.5,1.5
35,,Brandin CooksB. Cooks LAR,WR16,,30,49,35.5,2.4
