Rank,WSID,Tight Ends (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Travis KelceT. Kelce KC,12,1,2,1.0,0.0,1.0,0.0
2,,George KittleG. Kittle SF,4,1,4,2.5,0.6,3.0,+1.0
3,,Zach ErtzZ. Ertz PHI,10,2,4,2.6,0.5,2.0,-1.0
Tier 2,
4,,O.J. HowardO. Howard TB,7,2,9,5.0,1.3,4.0,0.0
5,,Evan EngramE. Engram NYG,11,3,13,5.3,1.7,5.0,0.0
6,,Hunter HenryH. Henry LAC,12,2,7,5.6,0.9,6.0,0.0
7,,Jared CookJ. Cook NO,9,6,19,8.8,2.5,7.0,0.0
8,,David NjokuD. Njoku CLE,7,5,16,9.0,2.1,9.0,+1.0
9,,Eric EbronE. Ebron IND,6,5,16,9.2,2.4,8.0,-1.0
10,,Vance McDonaldV. McDonald PIT,7,4,20,9.3,1.9,10.0,0.0
Tier 3,
11,,Austin HooperA. Hooper ATL,9,5,19,11.8,2.1,11.0,0.0
12,,Delanie WalkerD. Walker TEN,11,8,32,13.2,2.9,13.0,+1.0
13,,Trey BurtonT. Burton CHI,6,8,18,13.6,2.1,12.0,-1.0
14,,Jack DoyleJ. Doyle IND,6,8,31,15.8,3.5,20.0,+6.0
15,,Jordan ReedJ. Reed WAS,10,6,21,15.9,3.0,19.0,+4.0
Tier 4,
16,,Mark AndrewsM. Andrews BAL,8,7,25,16.9,5.2,17.0,+1.0
17,,Kyle RudolphK. Rudolph MIN,12,10,23,17.4,3.1,16.0,-1.0
18,,Greg OlsenG. Olsen CAR,7,10,36,17.8,3.4,14.0,-4.0
19,,Jimmy GrahamJ. Graham GB,11,12,27,18.0,3.1,18.0,-1.0
20,,Chris Herndon IVC. Herndon NYJ,4,11,27,19.9,3.3,23.0,+3.0
21,,Dallas GoedertD. Goedert PHI,10,12,34,21.2,3.7,22.0,+1.0
22,,T.J. HockensonT. Hockenson DET,5,12,31,21.7,4.7,15.0,-7.0
23,,Noah FantN. Fant DEN,10,11,35,22.8,5.2,21.0,-2.0
24,,Mike GesickiM. Gesicki MIA,5,14,41,26.0,4.9,26.0,+2.0
25,,Tyler EifertT. Eifert CIN,9,15,41,26.0,4.1,24.0,-1.0
Tier 5,
26,,Gerald EverettG. Everett LAR,9,13,32,26.5,3.9,31.0,+5.0
27,,Cameron BrateC. Brate TB,7,22,45,31.5,4.8,35.0,+8.0
28,,Hayden HurstH. Hurst BAL,8,23,42,31.5,4.4,36.0,+8.0
29,,Jason WittenJ. Witten DAL,8,9,79,31.5,10.4,25.0,-4.0
30,,Darren WallerD. Waller OAK,6,14,106,28.2,17.5,28.0,-2.0
31,,Ricky Seals-JonesR. Seals-Jones ARI,12,19,68,34.8,8.1,37.0,+6.0
32,,Ian ThomasI. Thomas CAR,7,23,50,33.0,6.8,29.0,-3.0
33,,Charles ClayC. Clay ARI,12,31,67,42.9,9.6,49.0,+16.0
34,,Will DisslyW. Dissly SEA,11,24,47,34.3,5.4,34.0,0.0
35,,Nick VannettN. Vannett SEA,11,23,61,38.1,8.2,56.0,+21.0
Tier 6,
36,,Irv Smith Jr.I. Smith MIN,12,27,64,41.1,8.8,27.0,-9.0
37,,Matt LaCosseM. LaCosse NE,10,25,79,36.6,12.9,30.0,-7.0
38,,Jordan ThomasJ. Thomas HOU,10,23,63,36.5,11.7,39.0,+1.0
39,,Vernon DavisV. Davis WAS,10,30,57,39.3,7.0,63.0,+24.0
40,,Jonnu SmithJ. Smith TEN,11,28,58,39.3,7.6,52.0,+12.0
41,,Benjamin WatsonB. Watson NE,10,22,56,39.0,8.9,33.0,-8.0
42,,Geoff SwaimG. Swaim JAC,10,17,53,36.4,8.9,38.0,-4.0
43,,Josh OliverJ. Oliver JAC,10,24,74,42.6,13.7,41.0,-2.0
44,,Jake ButtJ. Butt DEN,10,25,57,44.3,7.8,47.0,+3.0
45,,C.J. UzomahC. Uzomah CIN,9,25,57,41.0,8.7,40.0,-5.0
46,,Dawson KnoxD. Knox BUF,6,28,70,46.6,13.6,46.0,0.0
47,,Jesse JamesJ. James DET,5,28,52,45.5,5.3,32.0,-15.0
48,,Blake JarwinB. Jarwin DAL,8,20,64,41.5,10.9,42.0,-6.0
49,,Tyler HigbeeT. Higbee LAR,9,33,50,43.7,3.7,70.0,+21.0
50,,Jace SternbergerJ. Sternberger GB,11,23,60,46.8,9.5,43.0,-7.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
Tier 7,
51,,Luke WillsonL. Willson OAK,6,30,69,53.7,10.4,140.0,+89.0
52,,Adam ShaheenA. Shaheen CHI,6,32,71,49.4,9.2,64.0,+12.0
53,,Austin Seferian-JenkinsA. Seferian-Jenkins FA,,30,107,46.2,22.7,116.0,+63.0
54,,Kahale WarringK. Warring HOU,10,27,76,54.1,13.8,57.0,+3.0
55,,Jeff HeuermanJ. Heuerman DEN,10,22,66,54.3,6.9,54.0,-1.0
56,,Demetrius HarrisD. Harris CLE,7,40,71,55.7,8.7,51.0,-5.0
57,,Tyler KroftT. Kroft BUF,6,37,69,51.0,8.2,84.0,+27.0
58,,Rhett EllisonR. Ellison NYG,11,44,81,62.6,9.6,72.0,+14.0
59,,Ed DicksonE. Dickson SEA,11,38,71,59.4,5.8,74.0,+15.0
60,,Blake BellB. Bell KC,12,44,69,54.7,7.3,55.0,-5.0
61,,Mo Alie-CoxM. Alie-Cox IND,6,42,82,66.7,10.7,60.0,-1.0
62,,Jason CroomJ. Croom BUF,6,47,95,67.8,14.2,144.0,+82.0
63,,Jordan AkinsJ. Akins HOU,10,49,68,60.9,4.5,73.0,+10.0
64,,Josh HillJ. Hill NO,9,41,72,62.1,8.6,50.0,-14.0
Tier 8,
65,,Maxx WilliamsM. Williams ARI,12,47,81,66.1,10.1,187.0,+122.0
66,,James O'ShaughnessyJ. O'Shaughnessy JAC,10,55,74,66.1,6.6,77.0,+11.0
67,,Xavier GrimbleX. Grimble PIT,7,48,79,66.4,10.4,65.0,-2.0
68,,Nick BoyleN. Boyle BAL,8,50,84,66.6,9.1,113.0,+45.0
69,,Garrett CelekG. Celek SF,4,56,78,68.6,5.9,128.0,+59.0
70,,Virgil GreenV. Green LAC,12,49,83,69.3,6.3,69.0,-1.0
71,,Foster MoreauF. Moreau OAK,6,23,89,70.6,12.6,67.0,-4.0
72,,Dwayne AllenD. Allen MIA,5,51,106,66.5,18.7,81.0,+9.0
73,,Dan ArnoldD. Arnold NO,9,50,90,71.3,13.1,61.0,-12.0
74,,Nick O'LearyN. O'Leary MIA,5,34,90,75.8,10.9,78.0,+4.0
75,,Jordan LeggettJ. Leggett TB,7,65,83,70.8,6.7,117.0,+42.0
76,,Seth DeValveS. DeValve CLE,7,61,105,77.5,14.0,101.0,+25.0
77,,Dalton SchultzD. Schultz DAL,8,70,85,77.7,3.7,80.0,+3.0
78,,Trevon WescoT. Wesco NYJ,4,49,93,63.5,18.0,88.0,+10.0
79,,Logan PaulsenL. Paulsen ATL,9,54,91,73.2,14.4,71.0,-8.0
80,,Luke StockerL. Stocker ATL,9,38,88,79.5,8.5,150.0,+70.0
81,,Anthony FirkserA. Firkser TEN,11,59,81,74.6,5.2,123.0,+42.0
82,,Jeremy SprinkleJ. Sprinkle WAS,10,70,97,84.1,8.7,97.0,+15.0
83,,Drew SampleD. Sample CIN,9,54,104,80.5,14.6,68.0,-15.0
84,,Darren FellsD. Fells HOU,10,35,107,78.6,25.4,171.0,+87.0
85,,Jacob HollisterJ. Hollister SEA,11,51,96,79.8,13.0,172.0,+87.0
Tier 9,
86,,Troy FumagalliT. Fumagalli DEN,10,53,96,80.6,16.3,154.0,+68.0
87,,Scott SimonsonS. Simonson NYG,11,77,98,85.2,7.1,100.0,+13.0
88,,Stephen AndersonS. Anderson NE,10,62,94,74.5,12.4,82.0,-6.0
89,,Eric SaubertE. Saubert ATL,9,72,89,81.2,6.8,107.0,+18.0
90,,Deon YelderD. Yelder KC,12,61,98,82.8,12.3,151.0,+61.0
