Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,DeAndre HopkinsD. Hopkins HOU,10,1,5,1.8,1.3
2,,Davante AdamsD. Adams GB,11,1,7,3.1,1.6
3,,Julio JonesJ. Jones ATL,9,1,6,3.7,1.1
4,,Michael ThomasM. Thomas NO,9,1,9,3.8,1.5
5,,Odell Beckham Jr.O. Beckham CLE,7,1,8,3.8,1.6
Tier 2,
6,,JuJu Smith-SchusterJ. Smith-Schuster PIT,7,2,12,6.4,2.0
7,,Antonio BrownA. Brown OAK,6,4,9,6.7,1.1
8,,Mike EvansM. Evans TB,7,6,14,8.7,1.4
9,,A.J. GreenA. Green CIN,9,7,17,10.2,1.6
10,,T.Y. HiltonT. Hilton IND,6,3,15,10.6,2.3
11,,Amari CooperA. Cooper DAL,8,8,14,10.7,1.4
12,,Keenan AllenK. Allen LAC,12,7,16,11.0,1.5
Tier 3,
13,,Adam ThielenA. Thielen MIN,12,9,17,13.6,1.7
14,,Stefon DiggsS. Diggs MIN,12,12,17,14.0,1.2
15,,Brandin CooksB. Cooks LAR,9,13,24,16.8,1.8
16,,Robert WoodsR. Woods LAR,9,14,30,16.9,1.8
17,,Kenny GolladayK. Golladay DET,5,13,23,17.8,2.0
Tier 4,
18,,Julian EdelmanJ. Edelman NE,10,14,27,19.3,3.3
19,,Cooper KuppC. Kupp LAR,9,15,33,21.0,3.1
20,,Allen RobinsonA. Robinson CHI,6,18,30,22.0,2.7
21,,Chris GodwinC. Godwin TB,7,15,36,23.1,4.4
22,,Alshon JefferyA. Jeffery PHI,10,18,28,23.5,1.8
23,,Corey DavisC. Davis TEN,11,17,35,24.2,4.8
24,,Jarvis LandryJ. Landry CLE,7,13,33,24.3,4.5
25,,D.J. MooreD. Moore CAR,7,19,39,25.2,2.7
26,,Calvin RidleyC. Ridley ATL,9,22,32,27.5,2.5
27,,Tyler LockettT. Lockett SEA,11,20,39,28.0,3.3
28,,Sammy WatkinsS. Watkins KC,12,19,56,28.7,4.9
Tier 5,
29,,Tyler BoydT. Boyd CIN,9,22,47,30.6,4.2
30,,Mike WilliamsM. Williams LAC,12,25,36,31.3,2.8
31,,Robby AndersonR. Anderson NYJ,4,21,39,31.9,4.2
32,,Marvin JonesM. Jones DET,5,27,45,34.6,2.8
33,,Doug BaldwinD. Baldwin SEA,11,22,59,34.7,11.6
34,,Will FullerW. Fuller HOU,10,26,60,35.7,3.2
35,,Golden TateG. Tate NYG,11,20,48,35.8,3.8
36,,Dante PettisD. Pettis SF,4,16,44,36.3,3.3
37,,Courtland SuttonC. Sutton DEN,10,21,47,37.1,3.0
38,,Sterling ShepardS. Shepard NYG,11,28,46,38.3,3.2
39,,Christian KirkC. Kirk ARI,12,25,51,39.0,4.2
40,,Keke CouteeK. Coutee HOU,10,33,52,42.5,3.5
Tier 6,
41,,Curtis SamuelC. Samuel CAR,7,35,56,43.2,2.7
42,,Larry FitzgeraldL. Fitzgerald ARI,12,27,60,44.2,7.1
43,,Anthony MillerA. Miller CHI,6,33,60,44.6,5.7
44,,Dede WestbrookD. Westbrook JAC,10,32,61,44.7,3.6
45,,Michael GallupM. Gallup DAL,8,40,73,46.5,2.8
46,,Tyreek HillT. Hill KC,12,7,91,27.4,25.4
47,,Emmanuel SandersE. Sanders DEN,10,34,69,49.2,7.9
48,,Adam HumphriesA. Humphries TEN,11,33,64,50.8,5.4
49,,Marquise GoodwinM. Goodwin SF,4,41,68,51.4,3.2
50,,Devin FunchessD. Funchess IND,6,29,69,51.7,8.4
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,John BrownJ. Brown BUF,6,40,62,52.8,4.1
52,,DeSean JacksonD. Jackson PHI,10,40,75,53.5,6.3
53,,James WashingtonJ. Washington PIT,7,30,69,54.2,7.0
54,,Geronimo AllisonG. Allison GB,11,24,78,54.6,10.2
55,,Jamison CrowderJ. Crowder NYJ,4,41,67,55.0,5.5
56,,Kenny StillsK. Stills MIA,5,38,85,55.7,6.1
57,,DaeSean HamiltonD. Hamilton DEN,10,39,74,57.4,10.0
58,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,11,45,76,58.5,5.2
Tier 7,
59,,Robert FosterR. Foster BUF,6,27,89,60.8,10.4
60,,Devante ParkerD. Parker MIA,5,35,74,62.3,5.0
61,,Tyrell WilliamsT. Williams OAK,6,46,91,62.7,11.5
62,,Antonio CallawayA. Callaway CLE,7,51,80,63.8,6.1
63,,Donte MoncriefD. Moncrief PIT,7,32,80,63.9,10.6
64,,Quincy EnunwaQ. Enunwa NYJ,4,50,82,64.2,7.2
65,,Tre'Quan SmithT. Smith NO,9,47,76,65.6,5.2
66,,Mohamed SanuM. Sanu ATL,9,46,88,66.6,5.6
67,,Taylor GabrielT. Gabriel CHI,6,54,82,66.7,5.0
68,,Marqise LeeM. Lee JAC,10,49,85,68.7,8.3
69,,John RossJ. Ross CIN,9,52,73,65.7,5.9
70,,Zay JonesZ. Jones BUF,6,48,90,70.1,7.8
71,,Albert WilsonA. Wilson MIA,5,46,89,71.0,10.1
72,,David MooreD. Moore SEA,11,53,85,73.7,5.2
73,,Taywan TaylorT. Taylor TEN,11,68,104,79.4,7.6
74,,Randall CobbR. Cobb DAL,8,59,98,77.7,9.8
75,,Nelson AgholorN. Agholor PHI,10,69,95,78.9,7.7
76,,Josh ReynoldsJ. Reynolds LAR,9,72,93,79.1,4.9
77,,Josh DoctsonJ. Doctson WAS,10,65,99,81.3,7.0
Tier 8,
78,,Equanimeous St. BrownE. St. GB,11,64,98,81.5,7.3
79,,Ted GinnT. Ginn NO,9,55,125,85.2,12.2
80,,D.J. CharkD. Chark JAC,10,59,100,84.7,5.5
81,,Paul RichardsonP. Richardson WAS,10,77,97,85.1,6.1
82,,Willie SneadW. Snead BAL,8,69,103,85.9,7.7
83,,Demaryius ThomasD. Thomas NE,10,61,99,79.0,10.0
84,,Danny AmendolaD. Amendola DET,5,63,110,90.9,12.2
85,,Keelan ColeK. Cole JAC,10,76,105,89.8,5.3
86,,Chris ConleyC. Conley JAC,10,65,106,91.9,6.6
87,,Parris CampbellP. Campbell IND,6,52,122,71.1,18.4
88,,Michael CrabtreeM. Crabtree FA,,69,123,86.8,13.2
89,,Phillip DorsettP. Dorsett NE,10,60,122,96.9,12.4
90,,Cole BeasleyC. Beasley BUF,6,56,114,94.9,8.6
91,,Cordarrelle PattersonC. Patterson CHI,6,56,133,96.3,12.1
92,,Trey QuinnT. Quinn WAS,10,49,103,80.8,12.6
93,,N'Keal HarryN. Harry NE,10,41,118,69.4,19.5
94,,Chris HoganC. Hogan CAR,7,80,107,93.6,7.3
95,,A.J. BrownA. Brown TEN,11,52,110,78.1,14.5
96,,D.K. MetcalfD. Metcalf SEA,11,49,112,80.9,16.7
97,,Ryan GrantR. Grant OAK,6,83,118,96.4,8.1
98,,Cameron MeredithC. Meredith NO,9,90,112,99.5,5.8
99,,Breshad PerrimanB. Perriman TB,7,66,127,100.0,9.9
100,,Rashard HigginsR. Higgins CLE,7,90,130,97.9,10.4
Tier 9,
101,,Marquise BrownM. Brown BAL,8,63,125,80.8,18.4
102,,Deon CainD. Cain IND,6,94,111,102.1,4.8
103,,Pierre GarconP. Garcon FA,,88,110,99.8,6.7
104,,J'Mon MooreJ. Moore GB,11,91,109,99.8,5.4
105,,Dez BryantD. Bryant FA,,53,114,93.5,10.8
106,,Jake KumerowJ. Kumerow GB,11,87,146,106.6,13.2
107,,Trent TaylorT. Taylor SF,4,95,121,106.5,6.4
108,,Kelvin BenjaminK. Benjamin FA,,88,112,101.6,7.3
109,,Kendrick BourneK. Bourne SF,4,86,126,104.6,9.6
110,,Keith KirkwoodK. Kirkwood NO,9,99,120,110.8,5.5
111,,J.J. Arcega-WhitesideJ. Arcega-Whiteside PHI,10,64,93,74.7,10.2
112,,Mecole HardmanM. Hardman KC,12,70,82,75.0,4.1
113,,Chester RogersC. Rogers IND,6,97,118,109.4,4.7
114,,Jermaine KearseJ. Kearse FA,,98,128,106.6,8.0
115,,Laquon TreadwellL. Treadwell MIN,12,99,115,107.8,4.9
116,,Hakeem ButlerH. Butler ARI,12,68,100,89.0,10.1
117,,Andy IsabellaA. Isabella ARI,12,51,120,84.2,18.2
118,,Rishard MatthewsR. Matthews FA,,103,121,110.9,5.1
119,,Deebo SamuelD. Samuel SF,4,51,87,69.3,12.8
120,,Jordan MatthewsJ. Matthews SF,4,100,119,112.0,5.6
121,,Justin WatsonJ. Watson TB,7,81,144,106.0,21.6
122,,Demarcus RobinsonD. Robinson KC,12,83,134,108.0,15.7
Tier 10,
123,,Allen HurnsA. Hurns DAL,8,107,114,109.2,2.5
124,,Tim PatrickT. Patrick DEN,10,75,116,104.8,11.4
125,,Bruce EllingtonB. Ellington NE,10,86,119,111.6,8.4
126,,Dontrelle InmanD. Inman FA,,84,124,107.7,17.1
127,,Ryan SwitzerR. Switzer PIT,7,101,123,113.3,9.2
128,,Corey ColemanC. Coleman NYG,11,111,121,116.3,4.1
129,,Jarius WrightJ. Wright CAR,7,109,128,118.5,9.5
130,,Jaron BrownJ. Brown SEA,11,114,136,125.7,9.0
131,,Travis BenjaminT. Benjamin LAC,12,116,137,126.3,8.6
132,,Chad WilliamsC. Williams ARI,12,115,129,122.0,7.0
133,,Zach PascalZ. Pascal IND,6,119,131,125.0,6.0
134,,Isaiah McKenzieI. McKenzie BUF,6,130,131,130.5,0.5
135,,Jakeem GrantJ. Grant MIA,5,132,132,132.0,0.0
136,,Mike WallaceM. Wallace FA,,133,138,135.5,2.5
137,,Brice ButlerB. Butler MIA,5,134,139,136.5,2.5
