Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,3,1.4,0.6,1.0,0.0
2,,Ezekiel ElliottE. Elliott DAL,RB2,8,1,8,2.3,1.1,2.0,0.0
3,,Christian McCaffreyC. McCaffrey CAR,RB3,7,1,6,3.1,0.8,3.0,0.0
4,,Alvin KamaraA. Kamara NO,RB4,9,1,14,3.7,1.4,4.0,0.0
5,,DeAndre HopkinsD. Hopkins HOU,WR1,10,5,13,5.8,1.5,5.0,0.0
Tier 2,
6,,Melvin GordonM. Gordon LAC,RB5,12,4,27,8.1,2.9,6.0,0.0
7,,Davante AdamsD. Adams GB,WR2,11,5,16,8.3,2.8,7.0,0.0
8,,Julio JonesJ. Jones ATL,WR3,9,5,27,9.7,2.8,12.0,+4.0
9,,David JohnsonD. Johnson ARI,RB6,12,3,21,10.0,4.6,10.0,+1.0
10,,Michael ThomasM. Thomas NO,WR4,9,7,28,11.4,3.8,9.0,-1.0
11,,Travis KelceT. Kelce KC,TE1,12,12,17,12.2,0.8,17.0,+6.0
12,,Odell Beckham Jr.O. Beckham CLE,WR5,7,7,28,12.7,4.7,14.0,+2.0
13,,Le'Veon BellL. Bell NYJ,RB7,4,6,21,13.3,3.6,11.0,-2.0
14,,James ConnerJ. Conner PIT,RB8,7,5,23,14.0,4.5,13.0,-1.0
15,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,5,29,15.2,4.6,16.0,+1.0
Tier 3,
16,,Joe MixonJ. Mixon CIN,RB9,9,8,76,17.7,6.6,15.0,-1.0
17,,Todd GurleyT. Gurley LAR,RB10,9,1,60,18.3,11.3,8.0,-9.0
18,,Dalvin CookD. Cook MIN,RB11,12,8,46,20.5,6.4,21.0,+3.0
19,,Antonio BrownA. Brown OAK,WR7,6,13,32,20.5,4.4,19.0,0.0
20,,George KittleG. Kittle SF,TE2,4,15,53,21.0,7.6,25.0,+5.0
21,,Zach ErtzZ. Ertz PHI,TE3,10,15,63,21.1,8.9,23.0,+2.0
22,,Nick ChubbN. Chubb CLE,RB12,7,11,66,23.8,9.5,22.0,0.0
23,,Mike EvansM. Evans TB,WR8,7,15,62,24.3,4.3,18.0,-5.0
24,,Keenan AllenK. Allen LAC,WR9,12,16,36,27.1,3.4,26.0,+2.0
25,,T.Y. HiltonT. Hilton IND,WR10,6,10,64,27.5,3.6,27.0,+2.0
26,,A.J. GreenA. Green CIN,WR11,9,16,35,28.5,3.8,34.0,+8.0
27,,Amari CooperA. Cooper DAL,WR12,8,21,38,29.6,3.0,28.0,+1.0
28,,Adam ThielenA. Thielen MIN,WR13,12,20,40,31.0,3.4,24.0,-4.0
