Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Christian McCaffreyC. McCaffrey CAR,RB1,,1,1,1.0,0.0
2,,Saquon BarkleyS. Barkley NYG,RB2,,2,5,2.2,0.6
3,,Michael ThomasM. Thomas NO,WR1,,3,4,3.1,0.2
4,,Ezekiel ElliottE. Elliott DAL,RB3,,2,6,4.4,0.7
5,,Dalvin CookD. Cook MIN,RB4,,2,7,4.8,0.9
Tier 2,
6,,Alvin KamaraA. Kamara NO,RB5,,4,16,7.2,2.1
7,,DeAndre HopkinsD. Hopkins HOU,WR2,,7,15,9.6,1.8
8,,Derrick HenryD. Henry TEN,RB6,,4,27,9.9,3.9
9,,Aaron JonesA. Jones GB,RB7,,7,22,9.9,3.7
10,,Tyreek HillT. Hill KC,WR3,,6,15,11.3,2.6
11,,Davante AdamsD. Adams GB,WR4,,6,16,11.5,1.6
12,,Joe MixonJ. Mixon CIN,RB8,,4,27,11.6,5.7
Tier 3,
13,,Julio JonesJ. Jones ATL,WR5,,8,21,12.7,1.6
14,,Chris GodwinC. Godwin TB,WR6,,7,24,13.8,1.7
15,,Mike EvansM. Evans TB,WR7,,12,25,16.6,3.0
16,,Nick ChubbN. Chubb CLE,RB9,,7,29,17.2,5.8
17,,Travis KelceT. Kelce KC,TE1,,9,25,17.7,0.5
18,,Leonard FournetteL. Fournette JAC,RB10,,7,42,17.7,5.6
19,,George KittleG. Kittle SF,TE2,,9,53,18.9,6.9
Tier 4,
20,,Austin EkelerA. Ekeler LAC,RB11,,6,44,22.3,7.7
21,,Josh JacobsJ. Jacobs OAK,RB12,,14,37,22.5,2.3
22,,Lamar JacksonL. Jackson BAL,QB1,,19,38,22.8,7.4
23,,Amari CooperA. Cooper DAL,WR8,,16,33,22.8,3.4
24,,Kenny GolladayK. Golladay DET,WR9,,16,33,23.5,3.8
25,,D.J. MooreD. Moore CAR,WR10,,16,53,27.8,3.4
26,,Todd GurleyT. Gurley LAR,RB13,,14,57,27.8,6.3
27,,Odell Beckham Jr.O. Beckham CLE,WR11,,15,48,29.4,4.7
28,,Miles SandersM. Sanders PHI,RB14,,22,42,29.9,5.4
29,,Allen RobinsonA. Robinson CHI,WR12,,21,56,31.1,2.9
Tier 5,
