Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
Tier 1,
1,,Saquon BarkleyS. Barkley NYG,RB1,11,1,8,1.8,0.9,1.0,0.0
2,,Ezekiel ElliottE. Elliott DAL,RB2,8,1,11,2.2,1.2,3.0,+1.0
3,,Christian McCaffreyC. McCaffrey CAR,RB3,7,1,8,3.1,1.5,2.0,-1.0
4,,Alvin KamaraA. Kamara NO,RB4,9,1,6,3.6,1.2,4.0,0.0
5,,DeAndre HopkinsD. Hopkins HOU,WR1,10,5,36,6.4,2.0,5.0,0.0
6,,Davante AdamsD. Adams GB,WR2,11,5,16,7.6,2.6,7.0,+1.0
7,,David JohnsonD. Johnson ARI,RB5,12,3,42,9.3,6.1,6.0,-1.0
8,,Julio JonesJ. Jones ATL,WR3,9,5,29,9.7,3.1,11.0,+3.0
9,,Melvin GordonM. Gordon LAC,RB6,12,2,29,10.6,5.4,8.0,-1.0
10,,Michael ThomasM. Thomas NO,WR4,9,5,28,11.5,3.6,10.0,0.0
11,,Travis KelceT. Kelce KC,TE1,12,8,17,12.2,1.0,13.0,+2.0
12,,Odell Beckham Jr.O. Beckham CLE,WR5,7,5,30,13.1,4.6,14.0,+2.0
13,,Le'Veon BellL. Bell NYJ,RB7,4,4,42,13.9,5.6,9.0,-4.0
14,,Joe MixonJ. Mixon CIN,RB8,9,6,46,15.3,4.4,15.0,+1.0
15,,James ConnerJ. Conner PIT,RB9,7,7,40,16.2,5.2,12.0,-3.0
16,,JuJu Smith-SchusterJ. Smith-Schuster PIT,WR6,7,5,34,16.5,5.8,17.0,+1.0
Tier 2,
17,,Todd GurleyT. Gurley LAR,RB10,9,1,59,19.0,10.7,16.0,-1.0
18,,Antonio BrownA. Brown OAK,WR7,6,9,29,19.8,4.0,19.0,+1.0
19,,Dalvin CookD. Cook MIN,RB11,12,11,46,20.0,6.0,18.0,-1.0
20,,George KittleG. Kittle SF,TE2,4,15,63,20.7,8.0,26.0,+6.0
21,,Nick ChubbN. Chubb CLE,RB12,7,6,63,22.9,9.8,21.0,0.0
22,,Mike EvansM. Evans TB,WR8,7,13,34,23.1,4.3,20.0,-2.0
23,,Zach ErtzZ. Ertz PHI,TE3,10,15,63,23.2,11.6,22.0,-1.0
24,,Keenan AllenK. Allen LAC,WR9,12,17,33,27.2,3.2,24.0,0.0
25,,T.Y. HiltonT. Hilton IND,WR10,6,10,36,27.9,3.7,27.0,+2.0
26,,A.J. GreenA. Green CIN,WR11,9,16,36,28.8,3.5,34.0,+8.0
27,,Amari CooperA. Cooper DAL,WR12,8,10,38,29.4,3.5,30.0,+3.0
28,,Adam ThielenA. Thielen MIN,WR13,12,20,41,31.4,3.3,25.0,-3.0
29,,Stefon DiggsS. Diggs MIN,WR14,12,25,39,31.8,2.9,33.0,+4.0
30,,Leonard FournetteL. Fournette JAC,RB13,10,11,57,32.2,9.9,29.0,-1.0
31,,Damien WilliamsD. Williams KC,RB14,12,4,163,33.2,19.2,28.0,-3.0
Tier 4,
32,,Aaron JonesA. Jones GB,RB15,11,6,71,35.0,12.1,31.0,-1.0
33,,Brandin CooksB. Cooks LAR,WR15,9,29,45,35.3,2.4,40.0,+7.0
34,,Patrick MahomesP. Mahomes KC,QB1,12,24,87,35.4,12.5,23.0,-11.0
35,,Marlon MackM. Mack IND,RB16,6,14,84,36.3,12.0,35.0,0.0
36,,Robert WoodsR. Woods LAR,WR16,9,30,65,36.4,3.2,42.0,+6.0
37,,Julian EdelmanJ. Edelman NE,WR17,10,20,96,36.4,6.8,39.0,+2.0
38,,Kenny GolladayK. Golladay DET,WR18,5,28,90,39.8,8.8,41.0,+3.0
39,,Devonta FreemanD. Freeman ATL,RB17,9,17,79,41.6,11.8,32.0,-7.0
40,,Cooper KuppC. Kupp LAR,WR19,9,34,73,42.9,7.5,50.0,+10.0
41,,Chris GodwinC. Godwin TB,WR20,7,28,97,45.3,12.0,48.0,+7.0
42,,Tyler LockettT. Lockett SEA,WR21,11,34,90,47.2,10.3,54.0,+12.0
43,,Andrew LuckA. Luck IND,QB2,6,24,82,47.5,10.4,46.0,+3.0
44,,Derrick HenryD. Henry TEN,RB18,11,23,98,48.0,11.0,38.0,-6.0
45,,Alshon JefferyA. Jeffery PHI,WR22,10,33,73,48.1,10.2,68.0,+23.0
46,,Deshaun WatsonD. Watson HOU,QB3,10,24,68,48.2,10.3,49.0,+3.0
47,,Kerryon JohnsonK. Johnson DET,RB19,5,17,112,48.4,13.8,36.0,-11.0
Tier 5,
48,,Allen RobinsonA. Robinson CHI,WR23,6,34,99,51.1,13.1,71.0,+23.0
49,,D.J. MooreD. Moore CAR,WR24,7,36,86,51.2,9.8,60.0,+11.0
50,,Aaron RodgersA. Rodgers GB,QB4,11,24,77,51.7,8.0,52.0,+2.0
"50

                                              googletag.cmd.push(function() { googletag.display('div-gpt-ad-1404326895972-0'); });"
51,,O.J. HowardO. Howard TB,TE4,7,15,78,55.2,12.1,57.0,+6.0
52,,Calvin RidleyC. Ridley ATL,WR25,9,37,90,55.8,10.2,56.0,+4.0
